true_group,random_group,PCA
0,81,20
0,97,20
0,32,20
0,64,24
0,36,20
0,89,20
0,64,20
0,47,20
0,48,21
0,35,20
0,44,24
0,37,21
0,30,20
0,73,20
0,91,20
0,21,20
0,25,20
0,87,20
0,21,20
0,90,23
0,19,20
0,38,20
0,25,24
0,20,22
0,31,20
0,92,23
0,31,23
0,45,20
0,89,24
0,75,21
0,65,20
0,48,20
0,93,20
0,70,21
0,12,20
0,89,20
0,2,21
0,18,20
0,90,20
0,27,20
0,30,20
0,17,24
0,86,20
0,77,24
0,75,21
0,1,20
0,9,20
0,4,20
0,59,21
0,3,20
0,67,20
0,71,20
0,99,20
0,52,21
0,29,20
0,98,20
0,86,20
0,40,20
0,98,21
0,60,20
0,53,21
0,91,20
0,49,24
0,55,23
0,52,20
0,77,20
0,56,21
0,7,20
0,4,20
0,95,20
0,29,20
0,76,23
0,41,20
0,9,20
0,12,20
0,22,20
0,65,20
0,66,20
0,30,21
0,72,24
0,67,24
0,4,20
0,6,21
0,96,20
0,45,20
0,65,24
0,64,20
0,35,23
0,8,20
0,3,20
0,14,20
0,15,21
0,88,21
0,20,21
0,47,21
0,73,20
0,88,23
0,29,20
0,90,20
0,94,20
0,9,21
0,23,20
0,70,24
0,93,20
0,2,21
0,76,20
0,68,20
0,70,20
0,21,20
0,1,21
0,31,20
0,52,21
0,5,20
0,16,20
0,85,24
0,5,24
0,78,20
0,28,20
0,46,24
0,32,22
0,13,21
0,25,24
0,11,21
0,49,20
0,96,24
0,55,21
0,92,23
0,42,20
0,48,20
0,24,24
0,30,20
0,29,20
0,3,20
0,10,21
0,61,20
0,92,20
0,15,20
0,78,22
0,40,20
0,9,24
0,88,20
0,73,20
0,70,21
0,57,20
0,66,20
0,84,22
0,2,20
0,92,21
0,53,23
0,15,20
0,50,20
0,72,20
0,56,21
0,39,20
0,58,20
0,71,20
0,12,20
0,75,21
0,65,23
0,36,21
0,26,20
0,41,20
0,37,20
0,91,24
0,48,20
0,72,20
0,77,20
0,58,20
0,22,20
0,78,20
0,41,20
0,40,20
0,42,20
0,44,20
0,2,20
0,49,20
0,52,20
0,40,20
0,17,24
0,63,21
0,40,20
0,3,20
0,45,21
0,43,23
0,81,20
0,98,20
0,56,21
0,92,22
0,63,20
0,64,24
0,23,20
0,75,20
0,72,23
0,70,20
0,81,24
0,84,21
0,39,21
