true_group,random_group,PCA
0,41,24
0,26,20
0,53,20
0,26,23
0,66,24
0,86,24
0,1,20
0,93,21
0,35,20
0,44,21
0,2,22
0,15,20
0,27,23
0,6,20
0,9,21
0,6,21
0,20,20
0,60,20
0,61,20
0,75,20
0,13,24
0,88,21
0,71,21
0,45,20
0,95,20
0,20,20
0,47,24
0,6,20
0,67,21
0,76,24
0,96,20
0,15,20
0,29,20
0,13,24
0,84,24
0,60,24
0,61,21
0,31,24
0,61,21
0,16,20
0,67,20
0,35,21
0,10,20
0,97,21
0,57,20
0,9,20
0,3,21
0,5,20
0,58,24
0,70,20
0,66,21
0,5,20
0,94,20
0,58,24
0,30,20
0,8,20
0,62,20
0,51,20
0,38,23
0,22,20
0,76,20
0,23,24
0,70,20
0,52,20
0,3,23
0,56,20
0,96,21
0,84,20
0,4,20
0,53,21
0,29,24
0,88,23
0,88,20
0,48,21
0,76,24
0,61,21
0,30,20
0,49,20
0,57,20
0,91,20
0,96,22
0,73,20
0,18,20
0,73,20
0,17,20
0,89,21
0,60,21
0,45,24
0,3,23
0,6,20
0,94,20
0,53,24
0,25,20
0,85,20
0,1,21
0,69,24
0,93,21
0,92,20
0,64,20
0,91,21
0,25,20
0,19,20
0,94,20
0,72,22
0,62,22
0,67,23
0,39,20
0,33,20
0,3,20
0,0,20
0,42,20
0,55,20
0,95,20
0,26,20
0,65,20
0,45,24
0,89,20
0,59,20
0,6,24
0,60,21
0,52,20
0,40,21
0,41,23
0,90,21
0,68,22
0,58,20
0,63,23
0,89,20
0,20,20
0,36,20
0,8,20
0,97,20
0,20,20
0,7,20
0,29,20
0,88,23
0,57,20
0,50,20
0,79,20
0,15,20
0,38,21
0,12,20
0,64,22
0,66,20
0,13,23
0,9,20
0,11,22
0,66,20
0,65,24
0,85,21
0,48,20
0,57,20
0,36,20
0,26,20
0,57,20
0,91,20
0,23,20
0,30,20
0,36,20
0,8,20
0,39,20
0,95,20
0,73,22
0,15,20
0,1,20
0,47,20
0,85,20
0,24,21
0,36,20
0,42,20
0,27,20
0,77,23
0,76,21
0,97,23
0,26,20
0,98,24
0,41,20
0,90,20
0,47,21
0,66,20
0,79,23
0,2,20
0,80,20
0,60,20
0,69,23
0,70,21
0,5,21
0,67,23
0,48,21
0,85,21
0,11,21
0,54,20
0,74,20
0,27,20
0,86,21
0,19,20
0,87,23
0,95,23
0,42,20
0,54,20
1,42,5
1,96,5
1,44,8
1,82,8
1,77,6
1,26,5
1,26,5
1,33,7
1,48,8
1,8,5
1,92,8
1,28,8
1,23,6
1,7,8
1,5,9
1,60,6
1,93,7
1,64,5
1,12,7
1,99,5
1,43,9
1,65,8
1,36,5
1,54,5
1,14,5
1,55,5
1,84,9
1,99,7
1,60,5
1,95,7
1,58,5
1,40,8
1,39,6
1,17,8
1,89,8
1,17,5
1,44,8
1,22,8
1,0,9
1,6,8
1,95,5
1,78,9
1,43,5
1,80,6
1,80,9
1,81,5
1,40,5
1,18,6
1,2,9
1,18,5
2,51,70
2,28,71
2,66,70
2,95,70
2,84,72
2,13,73
2,55,70
2,86,71
2,47,70
2,14,73
2,99,70
2,51,72
2,23,70
2,75,72
2,51,70
2,11,72
2,8,70
2,82,74
2,24,73
2,64,70
2,59,70
2,62,70
2,91,72
2,69,70
2,59,72
2,27,70
2,82,70
2,38,70
2,14,73
2,62,70
2,62,73
2,69,74
2,76,70
2,30,72
2,81,70
2,56,72
2,7,74
2,53,70
2,90,70
2,12,70
2,61,70
2,71,72
2,95,70
2,46,73
2,63,70
2,7,71
2,5,70
2,26,70
2,38,71
2,47,72
2,9,73
2,5,71
2,24,70
2,30,71
2,70,70
2,85,70
2,60,70
2,58,70
2,77,72
2,83,70
2,54,70
2,94,71
2,88,70
2,36,71
2,72,72
2,59,70
2,27,72
2,48,73
2,85,70
2,44,71
2,68,72
2,5,72
2,30,72
2,32,71
2,87,71
2,78,70
2,95,70
2,14,70
2,18,74
2,51,70
2,22,71
2,22,70
2,53,70
2,40,71
2,59,71
2,32,74
2,27,70
2,74,71
2,47,72
2,58,70
2,72,71
2,23,71
2,36,72
2,99,70
2,60,70
2,0,70
2,74,70
2,35,71
2,64,70
2,12,71
2,48,70
2,58,72
2,25,72
2,58,70
2,68,70
2,31,70
2,99,72
2,20,70
2,60,70
2,45,70
2,39,70
2,8,70
2,14,70
2,46,72
2,54,70
2,23,70
2,47,71
2,25,72
2,58,70
2,5,72
2,35,72
2,35,71
2,7,70
2,30,71
2,34,74
2,31,70
2,46,72
2,52,70
2,58,71
2,75,70
2,34,71
2,37,70
2,27,72
2,87,70
2,59,73
2,22,72
2,93,70
2,38,71
2,13,70
2,43,73
2,89,71
2,27,70
2,53,70
2,35,70
2,39,73
2,69,71
2,1,74
2,21,71
2,90,72
2,87,72
2,1,70
2,76,70
2,37,71
2,54,70
2,50,73
2,74,73
2,52,72
2,26,70
2,20,70
2,76,71
2,3,70
2,97,70
2,9,71
2,16,70
2,61,70
2,44,70
2,48,72
2,89,72
2,28,70
2,94,71
2,86,71
2,29,71
2,64,70
2,30,70
2,70,70
2,8,72
2,50,70
2,80,71
2,33,72
2,40,70
2,59,70
2,66,70
2,63,70
2,54,70
2,8,73
2,34,70
2,12,71
2,7,70
2,98,71
2,52,71
2,22,71
2,47,72
2,52,71
2,88,71
2,18,70
2,56,72
2,17,70
2,29,74
2,88,72
2,58,71
3,31,44
3,21,44
3,19,41
3,0,43
3,89,41
3,32,42
3,22,40
3,71,42
3,23,41
3,63,40
3,94,41
3,36,40
3,75,40
3,58,41
3,47,40
3,91,40
3,32,44
3,10,40
3,68,44
3,34,40
3,60,41
3,41,40
3,23,40
3,93,43
3,4,40
3,17,43
3,58,41
3,36,40
3,72,40
3,1,44
3,97,41
3,62,44
3,98,43
3,58,41
3,4,41
3,49,40
3,24,40
3,69,42
3,2,44
3,85,40
3,27,42
3,10,44
3,13,41
3,25,41
3,44,41
3,70,41
3,95,42
3,98,41
3,4,40
3,3,41
4,23,0
4,14,0
4,89,3
4,37,0
4,80,1
4,91,0
4,37,0
4,29,0
4,29,1
4,26,3
4,8,1
4,84,2
4,5,1
4,83,0
4,0,0
4,94,0
4,4,0
4,27,0
4,16,0
4,69,2
4,51,3
4,34,1
4,43,0
4,5,1
4,73,0
4,4,1
4,33,0
4,81,0
4,68,1
4,8,1
4,26,1
4,89,0
4,3,0
4,45,1
4,67,3
4,86,0
4,80,0
4,54,0
4,89,3
4,69,0
4,15,2
4,59,0
4,37,0
4,8,0
4,50,0
4,90,0
4,34,0
4,97,0
4,8,0
4,40,0
5,93,34
5,18,30
5,50,33
5,61,30
5,12,31
5,37,32
5,72,31
5,59,31
5,96,31
5,32,34
5,79,34
5,35,33
5,26,34
5,2,31
5,16,31
5,73,33
5,46,32
5,30,30
5,96,31
5,93,31
5,15,32
5,98,30
5,85,31
5,70,31
5,32,30
5,49,33
5,31,30
5,33,31
5,80,31
5,97,31
5,73,32
5,62,31
5,92,33
5,60,30
5,23,30
5,7,31
5,65,31
5,38,31
5,53,31
5,5,31
5,32,30
5,31,31
5,20,30
5,65,31
5,84,33
5,5,34
5,86,31
5,10,34
5,43,31
5,5,31
5,96,31
5,61,31
5,55,30
5,4,31
