true_group,random_group,DIM
0,19,22
0,50,22
0,20,22
0,85,20
0,7,22
0,28,22
0,2,22
0,80,22
0,99,21
0,81,22
0,12,23
0,34,21
0,87,22
0,37,22
0,23,22
0,32,22
0,17,22
0,3,22
0,65,22
0,40,20
0,25,22
0,82,22
0,4,23
0,5,24
0,6,22
0,80,20
0,67,23
0,71,22
0,66,20
0,2,22
0,81,22
0,84,23
0,33,22
0,98,21
0,14,22
0,83,22
0,32,23
0,9,22
0,20,22
0,36,22
0,96,22
0,69,22
0,44,22
0,10,21
0,45,20
0,76,22
0,21,22
0,87,22
0,85,21
0,9,22
0,70,22
0,44,23
0,87,22
0,9,20
0,41,22
0,9,24
0,75,22
0,87,22
0,38,23
0,56,22
0,42,23
0,53,22
0,50,22
0,4,20
0,66,22
0,23,20
0,94,23
0,27,22
0,64,22
0,13,22
0,59,22
0,86,20
0,50,22
0,15,22
0,91,22
0,39,22
0,99,22
0,95,22
0,12,22
0,98,22
0,38,20
0,61,22
0,76,23
0,95,22
0,63,22
0,17,22
0,12,22
0,15,20
0,85,22
0,28,22
0,22,22
0,10,24
0,74,22
0,54,24
0,87,21
0,15,22
0,7,22
0,13,22
0,74,22
0,19,22
0,83,24
0,34,22
0,51,22
0,62,22
0,25,21
0,52,22
0,56,22
0,12,22
0,74,22
0,27,21
0,99,22
0,45,20
0,70,22
0,39,22
0,43,23
0,49,22
0,38,22
0,37,22
0,84,22
0,4,20
0,29,20
0,45,20
0,52,24
0,29,22
0,59,22
0,85,20
0,72,20
0,90,22
0,92,22
0,59,23
0,26,22
0,56,22
0,5,22
0,17,24
0,27,22
0,99,22
0,4,22
0,61,21
0,55,22
0,42,21
0,7,22
0,51,22
0,34,20
0,16,22
0,73,22
0,37,24
0,54,22
0,27,24
0,21,20
0,14,22
0,23,22
0,42,20
0,97,23
0,45,22
0,57,22
0,93,22
0,39,22
0,55,23
0,84,24
0,80,23
0,4,22
0,25,23
0,41,22
0,27,24
0,28,22
0,13,22
0,50,22
0,91,22
0,45,22
0,15,22
0,94,22
0,37,22
0,59,22
0,39,22
0,86,22
0,97,22
0,78,22
0,37,22
0,97,22
0,28,22
0,48,22
0,42,22
0,53,24
0,36,20
0,64,22
0,46,22
0,5,23
0,15,21
0,59,22
0,90,20
0,55,22
0,73,22
0,34,20
0,9,22
0,9,20
0,17,22
0,38,23
0,64,22
0,55,22
0,28,20
1,77,9
1,36,7
1,86,5
1,79,5
1,82,8
1,4,8
1,98,8
1,19,6
1,13,8
1,43,8
1,91,5
1,43,8
1,87,8
1,83,7
1,93,6
1,91,8
1,27,7
1,81,8
1,50,9
1,88,5
1,59,8
1,16,8
1,65,5
1,51,8
1,88,5
1,50,5
1,82,8
1,22,5
1,13,8
1,14,8
1,84,5
1,75,5
1,7,5
1,65,5
1,87,8
1,17,6
1,16,7
1,14,7
1,58,5
1,61,8
1,53,8
1,61,8
1,68,8
1,52,9
1,17,5
1,18,8
1,71,8
1,0,8
1,24,7
1,78,8
1,88,8
1,89,8
1,88,7
1,42,6
1,3,8
1,24,7
1,26,8
1,31,5
1,62,5
1,17,6
1,85,8
1,5,7
1,53,8
1,2,8
1,57,8
1,51,8
1,13,8
1,76,8
1,89,8
1,28,8
1,52,7
1,65,8
1,96,5
1,48,8
1,62,8
1,36,8
1,56,6
1,95,8
1,46,5
1,55,7
1,86,8
1,44,5
1,39,8
1,30,9
1,84,8
1,30,6
1,90,7
1,8,8
1,59,8
1,25,5
1,10,8
1,50,7
1,54,5
1,81,8
1,79,9
1,24,5
1,23,8
1,13,9
1,13,8
1,15,8
1,2,8
1,88,7
1,29,6
1,25,5
1,87,8
1,45,5
1,25,8
1,88,8
1,30,5
1,29,8
1,39,6
1,14,8
1,0,7
1,17,9
1,48,7
1,87,9
1,33,8
1,22,7
1,40,6
1,53,6
1,17,5
1,44,8
1,44,5
1,56,8
1,55,5
1,68,8
1,81,8
1,7,8
1,72,8
1,14,8
1,98,8
1,45,8
1,24,8
1,85,5
1,68,5
1,20,5
1,40,6
1,76,8
1,6,8
1,0,8
1,46,8
1,18,7
1,27,8
1,40,8
1,79,5
1,49,5
1,88,5
1,27,8
1,79,6
1,87,5
1,61,8
1,71,8
1,93,8
1,33,6
1,94,8
1,35,8
1,13,8
1,64,8
1,69,8
1,46,8
1,19,8
1,35,5
1,58,5
1,89,8
1,56,8
1,4,6
1,81,8
1,84,8
1,55,8
1,78,8
1,68,5
1,67,8
1,52,5
1,63,8
1,48,6
1,55,8
1,74,7
1,75,7
1,56,6
1,48,8
1,92,5
1,12,8
1,59,8
1,87,7
1,84,8
1,92,7
1,4,8
1,69,5
1,1,5
1,88,5
1,13,5
1,60,8
1,17,8
1,80,8
1,58,8
1,88,6
1,22,5
1,19,5
1,86,8
1,64,8
2,63,74
2,36,74
2,64,72
2,79,71
2,67,74
2,83,74
2,64,72
2,90,73
2,81,74
2,30,74
2,31,74
2,58,74
2,67,74
2,42,74
2,30,71
2,46,74
2,62,74
2,75,74
2,29,74
2,92,73
2,48,74
2,63,71
2,46,74
2,24,74
2,9,74
2,77,70
2,7,70
2,27,70
2,32,71
2,23,70
2,47,70
2,76,70
2,63,71
2,69,74
2,40,74
2,87,74
2,53,74
2,41,70
2,83,74
2,35,71
2,68,74
2,49,74
2,65,74
2,27,74
2,35,72
2,49,72
2,71,71
2,50,74
2,21,70
2,86,74
2,59,74
2,75,70
2,32,74
2,89,74
2,90,74
2,51,74
2,98,74
2,58,74
2,60,74
2,50,74
2,37,74
2,39,74
2,49,70
2,80,74
2,80,73
2,2,74
2,27,70
2,94,74
2,46,74
2,30,70
2,9,70
2,40,74
2,40,74
2,20,74
2,30,70
2,76,74
2,46,74
2,87,71
2,48,71
2,74,72
2,70,74
2,24,71
2,49,70
2,10,74
2,30,74
2,62,74
2,26,74
2,21,74
2,36,70
2,27,74
2,83,72
2,96,74
2,62,74
2,40,74
2,47,74
2,12,73
2,57,73
2,35,74
2,0,74
2,97,74
2,10,71
2,38,74
2,89,74
2,56,74
2,12,74
2,53,74
2,82,74
2,38,74
2,6,71
2,2,73
2,16,70
2,51,74
2,5,74
2,24,74
2,89,71
2,92,74
2,37,71
2,28,74
2,67,71
2,85,74
2,3,74
2,43,71
2,50,72
2,40,74
2,38,74
2,34,74
2,81,71
2,68,74
2,33,74
2,32,70
2,38,74
2,14,74
2,53,74
2,56,74
2,26,71
2,90,74
2,11,74
2,44,71
2,47,71
2,70,72
2,65,72
2,33,74
2,90,71
2,13,70
2,29,70
2,82,74
2,5,74
2,74,74
2,29,74
2,77,74
2,67,74
2,19,74
2,28,74
2,11,71
2,80,74
2,24,71
2,13,74
2,60,73
2,43,74
2,66,74
2,19,71
2,87,72
2,22,74
2,47,71
2,23,71
2,25,71
2,4,74
2,85,74
2,25,72
2,43,74
2,10,73
2,15,74
2,98,73
2,73,72
2,17,74
2,5,74
2,45,70
2,54,71
2,43,74
2,94,74
2,49,74
2,45,74
2,45,74
2,90,73
2,53,72
2,85,74
2,98,74
2,30,70
2,62,74
2,3,74
2,3,71
2,21,71
2,53,73
2,39,74
2,53,70
2,96,74
2,45,74
2,44,74
2,95,71
2,60,74
3,85,40
3,13,42
3,28,42
3,28,43
3,27,41
3,24,43
3,53,42
3,22,42
3,29,40
3,77,40
3,73,41
3,79,41
3,30,42
3,52,43
3,27,42
3,65,40
3,66,42
3,30,42
3,62,43
3,66,43
3,12,41
3,23,40
3,79,43
3,53,40
3,10,43
3,48,43
3,66,42
3,83,42
3,86,41
3,59,42
3,53,44
3,16,41
3,26,42
3,31,41
3,88,41
3,1,40
3,23,41
3,57,43
3,4,40
3,17,40
3,65,43
3,78,41
3,62,43
3,25,42
3,14,42
3,94,41
3,28,40
3,12,44
3,33,40
3,18,41
3,94,43
3,12,41
3,80,42
3,19,42
3,64,42
3,44,40
3,34,41
3,64,40
3,45,41
3,62,43
3,27,41
3,91,43
3,73,40
3,96,44
3,70,40
3,31,42
3,2,42
3,33,43
3,80,40
3,27,43
3,85,43
3,4,42
3,75,40
3,73,41
3,89,42
3,34,42
3,14,42
3,66,40
3,6,41
3,36,43
3,85,41
3,47,40
3,49,41
3,50,40
3,95,41
3,1,42
3,19,42
3,82,40
3,98,40
3,69,40
3,53,41
3,32,40
3,16,43
3,36,43
3,99,40
3,74,41
3,93,41
3,35,40
3,5,41
3,15,40
3,28,41
3,57,40
3,72,43
3,48,42
3,5,40
3,75,43
3,86,41
3,31,41
3,17,40
3,54,43
3,78,41
3,32,43
3,68,41
3,61,40
3,99,42
3,77,43
3,96,43
3,78,41
3,51,42
3,3,41
3,0,42
3,99,41
3,54,41
3,35,43
3,83,41
3,80,42
3,88,43
3,82,41
3,84,41
3,54,42
3,6,43
3,14,40
3,47,42
3,65,40
3,96,42
3,80,42
3,20,40
3,52,42
3,55,42
3,95,42
3,64,41
3,82,43
3,7,40
3,13,44
3,9,40
3,23,41
3,65,43
3,29,40
3,89,43
3,51,43
3,59,41
3,0,41
3,67,42
3,76,41
3,36,41
3,32,41
3,1,43
3,76,43
3,46,44
3,27,40
3,2,41
3,51,42
3,26,40
3,3,40
3,10,40
3,11,40
3,19,43
3,28,43
3,78,42
3,38,42
3,48,42
3,93,42
3,90,42
3,84,40
3,24,40
3,95,41
3,74,41
3,37,43
3,63,42
3,13,42
3,19,41
3,42,40
3,60,41
3,86,43
3,96,43
3,14,40
3,50,42
3,49,40
3,56,40
3,21,43
3,85,43
3,90,40
3,32,42
3,27,40
3,76,43
3,55,41
3,11,40
3,94,40
3,16,42
3,68,42
4,5,4
4,5,2
4,28,2
4,63,3
4,24,0
4,73,1
4,31,2
4,57,2
4,68,3
4,32,3
4,99,2
4,59,2
4,4,2
4,14,3
4,84,4
4,51,2
4,62,2
4,47,2
4,60,3
4,64,4
4,12,2
4,90,3
4,88,2
4,42,2
4,8,3
4,1,3
4,92,1
4,32,3
4,0,1
4,97,2
4,92,2
4,25,3
4,83,1
4,45,4
4,32,2
4,92,3
4,43,2
4,60,3
4,4,2
4,14,0
4,12,2
4,2,2
4,95,2
4,18,2
4,23,2
4,73,3
4,20,3
4,72,2
4,4,2
4,17,1
4,70,0
4,97,3
4,49,2
4,20,3
4,42,2
4,72,2
4,13,2
4,44,4
4,34,2
4,98,2
4,6,2
4,84,2
4,90,0
4,22,2
4,37,1
4,91,3
4,14,2
4,96,2
4,83,2
4,33,3
4,77,2
4,53,2
4,72,2
4,47,2
4,21,1
4,25,3
4,36,3
4,39,3
4,34,0
4,51,1
4,92,1
4,89,2
4,13,2
4,99,3
4,37,3
4,39,2
4,45,2
4,30,3
4,32,2
4,3,3
4,34,2
4,78,2
4,68,2
4,89,4
4,54,3
4,4,3
4,97,3
4,50,2
4,24,3
4,73,2
4,11,0
4,65,2
4,57,2
4,46,2
4,79,2
4,58,3
4,16,2
4,30,3
4,17,3
4,24,2
4,4,2
4,90,2
4,30,2
4,18,2
4,71,2
4,69,1
4,40,1
4,8,1
4,55,2
4,92,2
4,13,2
4,74,2
4,64,2
4,94,3
4,97,3
4,26,2
4,53,3
4,68,2
4,42,4
4,57,2
4,47,2
4,71,3
4,67,2
4,91,0
4,71,2
4,51,3
4,26,4
4,49,3
4,94,2
4,50,2
4,94,2
4,37,3
4,8,3
4,17,3
4,7,2
4,27,0
4,31,0
4,58,2
4,72,2
4,6,1
4,36,4
4,20,2
4,59,3
4,1,3
4,41,2
4,40,0
4,74,2
4,22,2
4,64,3
4,45,2
4,87,2
4,67,2
