true_group,random_group,DIM
0,58,23
0,9,22
0,88,22
0,9,20
0,13,23
0,87,21
0,74,22
0,13,23
0,8,22
0,38,20
0,6,22
0,83,22
0,75,24
0,70,22
0,20,24
0,59,24
0,65,22
0,61,22
0,78,22
0,76,22
0,64,20
0,49,22
0,47,23
0,36,22
0,79,22
0,16,22
0,96,20
0,87,22
0,45,20
0,84,23
0,15,22
0,90,22
0,88,22
0,97,20
0,26,21
0,3,20
0,7,20
0,71,20
0,83,24
0,26,22
0,12,22
0,86,22
0,91,22
0,58,23
0,18,22
0,78,22
0,4,24
0,3,22
0,56,22
0,61,22
0,40,22
0,45,22
0,52,22
0,97,21
0,50,22
0,83,22
0,98,22
0,86,22
0,50,21
0,22,22
0,3,22
0,42,20
0,2,22
0,63,22
0,97,20
0,5,22
0,25,24
0,74,22
0,9,22
0,9,21
0,34,23
0,19,20
0,42,22
0,26,21
0,60,20
0,11,24
0,53,23
0,10,22
0,38,22
0,75,22
0,49,21
0,77,22
0,58,22
0,61,23
0,35,22
0,6,22
0,97,23
0,55,21
0,83,20
0,37,22
0,1,22
0,89,23
0,5,22
0,58,22
0,62,22
0,25,20
0,29,20
0,2,22
0,2,22
0,76,24
0,32,22
0,26,20
0,81,22
0,34,23
0,7,21
0,86,20
0,99,20
0,45,22
0,71,22
0,83,22
0,31,22
0,30,22
0,33,22
0,81,22
0,20,22
0,45,22
0,71,22
0,37,22
0,84,21
0,72,21
0,67,22
0,29,20
0,52,20
0,88,22
0,47,20
0,63,22
0,85,23
0,75,22
0,29,22
0,84,21
0,3,22
0,16,22
0,96,22
0,79,22
0,64,22
0,7,20
0,31,22
0,30,22
0,3,22
0,38,22
0,80,21
0,48,22
0,9,24
0,99,22
0,5,20
0,30,22
0,12,24
0,45,22
0,37,22
0,76,21
0,58,22
0,12,22
0,72,22
0,69,22
0,12,22
0,54,22
0,63,22
0,9,22
0,83,22
0,33,22
0,57,22
0,91,22
0,44,21
0,72,22
0,55,22
0,45,22
0,77,22
0,1,21
0,58,22
0,34,22
0,42,22
0,44,23
0,99,20
0,39,23
0,48,22
0,56,22
0,29,22
0,99,22
0,22,22
0,90,22
0,43,23
0,99,22
0,80,22
0,52,22
0,42,20
0,45,22
0,92,21
0,20,20
0,88,20
0,10,20
0,93,23
